message,subquestion_focus,subquestion_type,answer
hello i would like more info about familial mediterean fever please as my husband suffers from this thanks,familial mediterranean fever,Information,"What is familial Mediterranean fever?  Familial Mediterranean fever is an inherited condition characterized by recurrent episodes of painful inflammation in the abdomen, chest, or joints. These episodes are often accompanied by fever and sometimes a rash or headache. Occasionally inflammation may occur in other parts of the body, such as the heart; the membrane surrounding the brain and spinal cord; and in males, the testicles. In about half of affected individuals, attacks are preceded by mild signs and symptoms known as a prodrome. Prodromal symptoms include mildly uncomfortable sensations in the area that will later become inflamed, or more general feelings of discomfort.  The first episode of illness in familial Mediterranean fever usually occurs in childhood or the teenage years, but in some cases, the initial attack occurs much later in life. Typically, episodes last 12 to 72 hours and can vary in severity. The length of time between attacks is also variable and can range from days to years. During these periods, affected individuals usually have no signs or symptoms related to the condition. However, without treatment to help prevent attacks and complications, a buildup of protein deposits (amyloidosis) in the body's organs and tissues may occur, especially in the kidneys, which can lead to kidney failure."
i just read an article submitted by you that stated your research shows that youve identified the mechanism that causes burning mouth syndrome also because of these findings you can find treatment ive had this for 15 yrs and am just holding on when will good treatment be available i belong to group of over 500 bmsers were suffering terribly and were from all over the world what would the treatment be,burning mouth syndrome,Treatment,"Treatment   Your doctor will help you get relief. Medicine can help control pain and relieve dry mouth.   Because BMS is a complex pain disorder, the treatment that works for one person may not work for another.   Symptoms of secondary BMS go away when the underlying medical condition, such as diabetes or yeast infection, is treated. If a drug is causing secondary BMS, then your doctor may switch you to a new medicine."
hi im suffering from nodular goiter the size of enlarged thyroid gland is visible but not like big one i need treatment for this some doctors have suggested surgery which i dont want to go through what are the other treatment options also let know the place where i can visit to consult thanks shweta,nodular goiter,Treatment,"Treatments for an enlarged thyroid include:  Thyroid hormone replacement pills, if the goiter is due to an underactive thyroid Small doses of Lugol's iodine or potassium iodine solution if the goiter is due to a lack of iodine Radioactive iodine to shrink the gland, especially if the thyroid is producing too much thyroid hormone Surgery (thyroidectomy) to remove all or part of the gland"
i get numbness to the body alot what should i do,numbness,Treatment,Home Care...When to Contact a Medical Professional…
after surgery for achalasia will spasms continue in the upper chest area and if so what can assist in ending spasms,achalasia,Prognosis,"Prognosis   The outlook for esophageal webs and rings is excellent. Even people with difficulty swallowing do well after dilation. If symptoms keep returning, you may need repeat dilations or electrocautery to control the symptoms."
i like to know recent therapy on arrhythmia of heart,ARRHYTHMIA,Treatment,"Treatment to restore a normal heart rhythm may include medicines, an implantable cardioverter-defibrillator (ICD) or pacemaker, or sometimes surgery."
hi i want to know about lupus and its treatment best mehrnaz,Lupus,Information,"If you have lupus, your immune system attacks healthy cells and tissues by mistake. This can damage your joints, skin, blood vessels and organs. There are many kinds of lupus. The most common type, systemic lupus erythematosus, affects many parts of the body. Discoid lupus causes a rash that doesn't go away. Subacute cutaneous lupus causes sores after being out in the sun. Another type can be caused by medication. Neonatal lupus, which is rare, affects newborns.   Anyone can get lupus, but women are most at risk. Lupus is also more common in African American, Hispanic, Asian and Native American women. The cause of lupus is not known.   Lupus has many symptoms. Some common ones are   Joint pain or swelling  Muscle pain  Fever with no known cause  Fatigue  Red rashes, often on the face (also called the ""butterfly rash"")  There is no one test to diagnose lupus, and it may take months or years to make the diagnosis. There is no cure for lupus, but medicines and lifestyle changes can help control it."
can high doses of vitamin d 50000 ius per week cause flatulence among other possible effects and is such high dose safe to raise very low levels of vitamin d in the body,flatulence,Cause,"Vitamin D is essential for your immune system and bone health, and if you do not get an adequate amount in your diet, you may need to take a supplement. However, because vitamin D is fat-soluble, your body stores the excess, which can lead to a toxicity if you take too much. This may cause bloating and gas associated with constipation, diarrhea and other intestinal issues. Discuss your vitamin D consumption with a licensed physician."
i have thrown up twice tonight and i have very bad tightness in the chest but my nasal and throat are clear i have just started on patches to help quit smoking and im an asthmatic but atm it feels like oxygen is staying in but i have pulse and i also have been suffering anxiety is the patches affecting my asthma and breathing,asthma/patches to help me quit smoking,Complication,"What side effects can this medication cause?  Nicotine skin patches may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:  dizziness  headache  nausea  vomiting  diarrhea  redness or swelling at the patch site  If you experience any of the following symptoms, call your doctor immediately:  severe rash or swelling  seizures  abnormal heartbeat or rhythm  difficulty breathing  If you experience a serious side effect, you or your doctor may send a report to the Food and Drug Administration's (FDA) MedWatch Adverse Event Reporting program online [at http://www.fda.gov/Safety/MedWatch] or by phone [1-800-332-1088]."
i have lymphoma what causes cramp after chemo treatment,cramp/chemo treatment,Complication,"Side effects of chemotherapy — Most patients who are treated with R-CHOP develop side effects, with the most common including:  ●Fever and low blood count — A potentially life-threatening side effect of chemotherapy is fever and lowered levels of a type of white blood cell, called neutrophils (the condition is called febrile neutropenia).  Anyone who is getting chemotherapy and who develops a temperature higher than 100.4°F (38°C) should immediately call his or her healthcare provider. This condition is a medical emergency and requires prompt treatment, usually with admission to a hospital and antibiotics by vein (IV).   ●Nausea and vomiting — Between 30 and 90 percent of patients develop nausea and vomiting after R-CHOP. Several medications may be given before and after chemotherapy to reduce its severity. This often includes dexamethasone and aprepitant (Emend), and a 5-HT3 receptor antagonist (eg, ondansetron/Zofran, granisetron/Kytril, dolasetron/Anzemet, palonosetron/Aloxi, or tropisetron/Navoban).   ●Hypersensitivity reaction — Hypersensitivity reactions may occur the first time a chemotherapy or immunotherapy drug is given, causing flushing; itching; chest, back, or abdominal pain; fever; nausea; dizziness; and other symptoms. It is not clear why this type of reaction occurs. Several medications are usually given before chemotherapy to reduce the severity of these symptoms, including acetaminophen (Tylenol), diphenhydramine (Benadryl), hydrocortisone (a steroid), and a stomach-acid-reducing medication, such as ranitidine (Zantac).   ●Tumor lysis syndrome — Tumor lysis syndrome is a serious, potentially life-threatening condition that can occur after beginning treatment with chemotherapy. It happens because the tumor cells die quickly and release toxic break-down products into the bloodstream. Symptoms can include nausea, vomiting, diarrhea, lack of appetite, lethargy, blood in the urine, heart problems, seizures, muscle cramps, and others. Preventive treatments are usually given before chemotherapy to reduce the risk of developing tumor lysis syndrome, including IV fluids and medications. In addition, blood tests are often done during and after treatment to monitor for the condition.   ●Other potential complications — Other potential complications of chemotherapy include damage to the heart (called cardiotoxicity) or the nerves (called neurotoxicity), or loss of the ability to have children (infertility). These risks, as well as ways to manage or monitor for them, should be discussed with a healthcare provider before beginning treatment."
my father age 65 his always leg pain which use medicine,leg pain,Treatment,"Leg pain can be due to a muscle cramp (also called a charley horse). Common causes of cramps include:  Dehydration or low amounts of potassium, sodium, calcium, or magnesium in the blood Medicines (such as diuretics and statins) Muscle fatigue or strain from overuse, too much exercise, or holding a muscle in the same position for a long time Home CareIf you have leg pain from cramps or overuse, take these steps first:  Rest as much as possible. Elevate your leg. Apply ice for up to 15 minutes. Do this 4 times per day, more often for the first few days. Gently stretch and massage cramping muscles. Take over-the-counter pain medications like acetaminophen or ibuprofen. Other homecare will depend on the cause of your leg pain.  When to Contact a Medical ProfessionalCall your health care provider if:  The painful leg is swollen or red. You have a fever. Your pain gets worse when you walk or exercise and improves with rest. The leg is black and blue. The leg is cold and pale. You are taking medicines that may be causing leg pain. DO NOT stop taking or change any of your medicines without talking to your health care provider. Self-care steps do not help."
what is the best thing to do for my dad who we are sure psp who are the best doctors to treat this disease we believe my uncle had psp also recently passed away i want to give my dad the best treatment available,Progressive Supernuclear Palsy,Treatment,"Is there any treatment?  There is currently no effective treatment for PSP, although scientists are searching for better ways to manage the disease. In some patients the slowness, stiffness, and balance problems of PSP may respond to antiparkinsonian agents such as levodopa, or levodopa combined with anticholinergic agents, but the effect is usually temporary. The speech, vision, and swallowing difficulties usually do not respond to any drug treatment.. Another group of drugs that has been of some modest success in PSP are antidepressant medications. The most commonly used of these drugs are Prozac, Elavil, and Tofranil. The anti-PSP benefit of these drugs seems not to be related to their ability to relieve depression. Non-drug treatment for PSP can take many forms. Patients frequently use weighted walking aids because of their tendency to fall backward. Bifocals or special glasses called prisms are sometimes prescribed for PSP patients to remedy the difficulty of looking down. Formal physical therapy is of no proven benefit in PSP, but certain exercises can be done to keep the joints limber. A surgical procedure, a gastrostomy, may be necessary when there are swallowing disturbances. This surgery involves the placement of a tube through the skin of the abdomen into the stomach (intestine) for feeding purposes.  CUREPSP (Foundation for PSP|CBD and Related Brain Diseases) 30 E. Padonia Road, Ste. 201 Timonium, MD   21093 info@curepsp.org http://www.curepsp.org  Tel: 410-785-7004 800-457-4777 Fax: 410-785-7009156"
can birth control called ocella cause dvt my daughter experiences pains crampingredness and swelling in her thigh and also really bad huge blood clots during her menstrual cycles after she was prescribed osella for birth control also these symptoms worsened after she gave birth this been happening for year now should she see discuss this with her doctor right away,DVT,Cause,"Patient information: Deep vein thrombosis (DVT) (Beyond the Basics)    Medical conditions or medications — Some medical conditions and medications increase a person's risk of developing a blood clot: ●Pregnancy ●Obesity ●Smoking ●Heart failure ●Previous DVT or PE ●Increased age ●Cancer — Some cancers increase substances in the blood that cause blood to clot. ●Kidney problems, such as nephrotic syndrome (see ""Patient information: The nephrotic syndrome (Beyond the Basics)"") ●Certain medications (eg, birth control pills, hormone replacement therapy, erythropoietin, tamoxifen, thalidomide). The risk of a blood clot is further increased in people who use one of these medications, and also smoke or are obese."
if person is not got any seizure attack for five years from last episode it will be treated as cured or otherwise kindly let know after how many daysyears it will be treated as cured,generalized tonic clonic seizure,Prognosis,"Generalized tonic-clonic seizure  Generalized tonic-clonic seizures may occur in people of any age. They can occur once (single episode). Or they can occur as part of a repeated, chronic illness (epilepsy). Some seizures are due to psychological problems (psychogenic)."
my father is suffering from ibs and is losing weight day by daysometimes even faints due to weaknesshe can not digest food please help us and suggest us upon this problem,IBS,Treatment,"Your doctor may run tests to be sure you don't have other diseases. These tests may include stool sampling tests, blood tests, and x-rays. Your doctor may also do a test called a sigmoidoscopy or colonoscopy. Most people diagnosed with IBS can control their symptoms with diet, stress management, probiotics, and medicine."
i have an aneurysm 26cmfor the last 5yrslast checked about year agoexperiencing paintighting in abdomen and chestshould i be going to er,abdominal aortic aneurysm,Treatment,"Once an aneurysm reaches 5 centimeters in diameter, it is usually considered necessary to treat to prevent rupture. Below 5 centimeters, the risk of the aneurysm rupturing is lower than the risk of conventional surgery in patients with normal surgical risks. The goal of therapy for aneurysms is to prevent them from rupturing. Once an abdominal aortic aneurysm has ruptured, the chances of survival are low, with 80 to 90 percent of all ruptured aneurysms resulting in death. These deaths can be avoided if an aneurysm is detected and treated before it ruptures. AAA Treatments  Currently, there are three treatment options for AAA:   Watchful Waiting - Small AAAs (less than 5 centimeters or about 2 inches), which are not rapidly growing or causing symptoms, have a low incidence of rupture and often require no treatment other than watchful waiting under the guidance of a vascular disease specialist. This typically includes follow-up ultrasound exams at regular intervals to determine if the aneurysm has grown.  Surgical Repair - The most common treatment for a large, unruptured aneurysm is open surgical repair by a vascular surgeon. This procedure involves an incision from just below the breastbone to the top of the pubic bone. The surgeon then clamps off the aorta, cuts open the aneurysm and sews in a graft to act as a bridge for the blood flow. The blood flow then goes through the plastic graft and no longer allows the direct pulsation pressure of the blood to further expand the weak aorta wall.  Interventional Repair - This minimally invasive technique is performed by an interventional radiologist using imaging to guide the catheter and graft inside the patient's artery. For the procedure, an incision is made in the skin at the groin through which a catheter is passed into the femoral artery and directed to the aortic aneurysm. Through the catheter, the physician passes a stent graft that is compressed into a small diameter within the catheter. The stent graft is advanced to the aneurysm, then opened, creating new walls in the blood vessel through which blood flows."
i have knot about the size of bb in my right forearm about 23 inches from my elbow its been there for about 5 years and hurts sometimes mostly only notice it when i put pressure on it you cant see it but can feel it pretty good it will move about cm in any direction i went to the doctors about 4 years ago to have it looked at but they did xray and said its prob bb from when i was younger its starting to hurt more now without putting pressure on it so im thinking i need to have something done about it any ideas on what it could be or what i should do about it,a knot about the size of a BB in my right forearm,Diagnose_me,"It is arm lump?  An arm lump is a protuberance or localized area of swelling occurring on the arm. Other terms used to describe the various types of lumps include bump, nodule, contusion, tumor and cyst. Arm lumps can be caused by any number of conditions, including infections, inflammation, tumors or trauma. Depending on the cause, lumps may be single or multiple, soft or firm, painful or painless. They may grow rapidly or may not change in size.  Arm lumps due to local infectious causes may appear as boils, or abscesses. Many types of infections cause the lymph nodes to enlarge and feel like lumps, most commonly in the armpits. Traumatic causes of arm lumps range from bug bites to severe injuries that can produce a localized collection of blood in the tissues (hematoma).  Both benign and malignant tumors of the skin, soft tissues, or bones of the arm can sometimes feel like lumps. Lumps caused by infection, inflammation or trauma are usually temporary and subside as the underlying condition resolves. Lumps that persist or continue to grow over time may signal more serious conditions, such as tumors. If you have any lump that is persistent or causes you concern, seek prompt medical care."
how to reduced hypertension,hypertension,Treatment,"How can I control high blood pressure?  Even if you have had a prior stroke or heart attack, controlling high blood pressure can help prevent another one. Take these steps: •Lose weight if you’re overweight. •Eat a healthy diet that’s low in salt, saturated fat, trans fat and cholesterol. •Eat fruits and vegetables, and fat-free or low-fat dairy products. •Enjoy regular physical activity. •Limit alcohol to no more than two drinks a day if you’re a man and one drink a day if you’re a woman. Check with your doctor about drinking alcohol; it can raise blood pressure. •Take medicine as prescribed. •Know what your blood pressure should be and try to keep it at that level."
period rashes proceed to vaginal itching then it develop fungal infection with thick white discharge i then take flucanazole antifungalwhich cure it but m worried of taking allopathic medicines pls tell what primitive or traditional methods do i use to avoid it i also have sensitive skin,fungal infection,Treatment,"How can I prevent a yeast infection? You can take steps to lower your risk of getting yeast infections: •Do not douche. Douching removes some of the normal bacteria in the vagina that protects you from infection. •Do not use scented feminine products, including bubble bath, sprays, pads, and tampons. •Change tampons, pads, and panty liners often. •Do not wear tight underwear, pantyhose, pants, or jeans. These can increase body heat and moisture in your genital area. •Wear underwear with a cotton crotch. Cotton underwear helps keep you dry and doesn't hold in warmth and moisture. •Change out of wet swimsuits and workout clothes as soon as you can. •After using the bathroom, always wipe from front to back. •Avoid hot tubs and very hot baths. •If you have diabetes, be sure your blood sugar is under control.     Does yogurt prevent or treat yeast infections?  Maybe. Studies suggest that eating eight ounces of yogurt with ""live cultures"" daily or taking Lactobacillus acidophilus capsules can help prevent infection.5,6  But, more research still needs to be done to say for sure if yogurt with Lactobacillus or other probiotics can prevent or treat vaginal yeast infections. If you think you have a yeast infection, see your doctor or nurse to make sure before taking any over-the-counter medicine."
she cries in pain and cant sleep at night do to this i believe its the most common based on age because she wasnt born with it and i just wan na know how i should go about it shes been to doctor but they say with the surgery theres only 5050 chance of survival thats just what she told but i really wish theres something i can do to help or something we can prevent the pain any type of help would be termendusly appreciated she had it for whole now maybe few months or so and she says the pain is increase wich is why i worry,scoliosis,Treatment,"Idiopathic Scoliosis  Adult  A) Adult scoliosis present since adolescence. B) A lumbar spine front-view X-ray showing degenerative scoliosis (scoliosis due to the aging process).  Figure 1: A) Adult scoliosis present since   adolescence. B) A lumbar spine front-view X-ray   showing degenerative scoliosis (scoliosis due  to the aging process).  When a spinal deformity is discovered in an adult, it is often quite different from a deformity in an infant or juvenile. The goals for treatment are often different as is the location of the scoliosis. The deformity in an adult may have been present since childhood or may be the result of the aging process.. Besides pain in the back, patients may have pain radiating down their legs. Treatment of spine deformity in adults focuses on restoring function and alleviating pain in combination with correcting the curvature of the spine.   Causes  There are many different causes of spinal deformity in the adult. The most common varieties include idiopathic scoliosis that was present during adolescence (teenage years) and then became worse during adulthood, and deformity that began in adulthood due to degenerative (wear and tear) changes in the spine and deformity that developed later in life. Other less frequent causes include curvatures due to osteoporosis (brittle bones), previous fractures of the spine due to an accident, spondylolisthesis (slipped vertebrae) and rarely, infections and tumors of the spine.5"
how helpful is radiation for melanoma of heel and spread all the way up the leg would this effect treatment of trial drugs or other treatments,melanoma,Treatment,"EXTERNAL BEAM RADIATION THERAPY External beam radiation therapy may be used to treat skin cancer itself or to relieve pain from cancer that has spread. Radiation oncologists deliver external beam radiation therapy to the cancer from a machine outside your body. Doctors target the radiation beams at your tumor, giving more radiation to the skin cancer while keeping it away from underlying organs. Skin cancer is often treated with superfi cial forms of radiation. That means the radiation penetrates only a short distance below the surface. Treatment may be given with X-rays or electrons. Treatments are usually scheduled every day, Monday through Friday, for several weeks to accurately deliver radiation to the cancer. Treatments are painless and take less than half an hour each, start to fi nish. Your treatment schedule will depend on your cancer, but it usually requires daily treatments for one or more weeks. Radiation therapy can be given on its own or may also be given in addition to surgery, chemotherapy or biologic therapy. UNDERSTANDING RADIATION THERAPY Radiation therapy, also called radiotherapy, is the careful use of radiation to treat many diff erent kinds of cancer.  Cancer doctors, called radiation oncologists, use radiation therapy to try to cure cancer, to control cancer growth or to relieve symptoms such as pain.  Radiation therapy works within cancer cells by damaging their ability to multiply. When these cells die, the body naturally eliminates them.  Healthy cells that grow and divide quickly are also harmed by radiation, but they are able to repair themselves in a way that cancer cells cannot.  Most radiation is given with an external beam, but treatment can be given with a radioactive source close to the skin with a treatment called brachytherapy, meaning ‘short-distance’ treatment. POTENTIAL SIDE EFFECTS The side eff ects you might feel will depend on the part of your body being treated, the dose of radiation given and whether you also receive other treatments like chemotherapy. Before treatment begins, ask your doctor about possible side eff ects and how you can best manage them. Nearly all patients will experience redness and moistness of the skin, similar to a brisk sunburn. After treatment ends, the skin will form a protective scab and the new, healthy skin will develop underneath it. This healing may take several months. You will also likely lose your hair in the area treated. Your hair may grow back, but it might not have the same texture or thickness. Talk to your doctor or nurse about any discomfort you feel. He or she may be able to provide medications or other treatments to help."
